keynmer,nambe,replicas,contrib,crystal_lattice_energy,priority_cutoff,min_separations
2mer-0+2,0.0,1,0.0,0.0,0.007388314612800321, 1.805 
2mer-0+3,0.0,1,0.0,0.0,0.0027582593143563234, 2.309 
2mer-0+6,0.0,1,0.0,0.0,0.001675810694649665, 2.615 
2mer-0+4,0.0,2,0.0,0.0,0.001173726853032711, 2.859 
2mer-0+1,0.0,1,0.0,0.0,0.0010938178628205838, 2.910 
3mer-0+2+6,-2584857.3648149697,1,-861619.12160499,-861619.12160499,5.682064441574699e-07, 1.805  2.526  2.615 
3mer-0+1+2,-2584857.3648150824,2,-1723238.243210055,-2584857.364815045,2.175836605866714e-07, 1.805  2.859  2.910 
3mer-0+1+3,-2584857.3648150885,2,-1723238.2432100587,-4308095.608025104,2.175836591606295e-07, 2.309  2.859  2.910 
3mer-0+2+3,-2584857.364814979,1,-861619.1216049929,-5169714.729630097,1.6271552703388681e-07, 1.805  2.309  3.005 
3mer-0+4+5,-2584857.364814959,1,-861619.1216049865,-6031333.851235082,1.6271552688503406e-07, 2.859  2.859  3.005 
3mer-0+3+6,-2584857.364814973,1,-861619.1216049909,-6892952.972840074,5.1381810174166844e-08, 2.309  2.615  3.416 
