distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,ind20_fit,dhf_fit,time_per_system
1.651,2mer-0+5,-10.70613205013001,15.797073079731415,-56.94598809469799,-56.94598809469799,-35.67000768,-10.70613205013001,-2.1806150020198376,0.1544460172106506
2.646,2mer-0+2,-0.22213184372062458,0.0858747784491326,-0.20206531108471132,-0.20206531108471132,-0.63868955,-0.22213184372062458,0.0062887674478150435,0.1544460172106506
2.707,2mer-0+1,-0.17248227560130122,0.10499257373055394,-1.1459390802960847,-1.1459390802960847,-0.51894871,-0.17248227560130122,-0.0163335643873354,0.1544460172106506
2.709,2mer-0+3,-0.449097965886084,0.23022141371943458,0.03195653623750805,0.03195653623750805,-0.76217183,-0.449097965886084,0.006099997124803835,0.1544460172106506
3.03,2mer-0+4,-0.15181116479721288,0.08601580745761137,0.510794012661825,0.510794012661825,-0.19600382,-0.15181116479721288,0.005368973881559534,0.1544460172106506
3.215,2mer-0+10,-1.1963693149727184,0.7157016401575735,-3.961901457457459,-3.961901457457459,-1.34492745,-1.1963693149727184,-0.0581395884773434,0.1544460172106506
3.249,2mer-0+7,-0.06076495042330148,0.03710184236690474,-0.07748712381645326,-0.07748712381645326,-0.10759638,-0.06076495042330148,0.0010015799828480634,0.1544460172106506
4.131,2mer-0+8,-0.1892184653954087,0.09976230016883422,-0.6136828672139563,-0.6136828672139563,-0.17814755,-0.1892184653954087,-0.004702136218822081,0.1544460172106506
4.479,2mer-0+21,-0.08847861992038564,0.046886722186058605,-0.9515556957667385,-0.9515556957667385,-0.1001578,-0.08847861992038564,-0.00207194364634714,0.1544460172106506
4.738,2mer-0+23,-0.014604599017138224,0.005503288666511002,0.003909405417850461,0.003909405417850461,-0.01544233,-0.014604599017138224,0.0001575618536649795,0.1544460172106506
4.991,2mer-0+18,-0.052454268117618504,0.03110774466818889,-0.9040554525342817,-0.9040554525342817,-0.04853736,-0.052454268117618504,-0.0011808873539286516,0.1544460172106506
5.564,2mer-0+19,-0.015272542831589853,0.0068116320367107895,0.4641292734062626,0.4641292734062626,-0.01593848,-0.015272542831589853,0.0002007975508148675,0.1544460172106506
