iteration,r2,mae,rmse,pol_0,pol_1,pol_2,pol_3
1,0.9512956285999339,3.586114204923036e-05,5.471100519748544e-05,0.00126916,0.0021458,0.00231593,0.00150921
2,0.9512956066368782,3.586115464032276e-05,5.4711098770314225e-05,0.00126917,0.0021458,0.00231593,0.00150921
3,0.9512957542536211,3.586115279868347e-05,5.471110947055454e-05,0.00126916,0.0021458099999999997,0.00231593,0.00150921
4,0.9512954532227802,3.586117690345175e-05,5.471121339228054e-05,0.00126916,0.0021458,0.00231594,0.00150921
5,0.9512957154136289,3.586115900912141e-05,5.47111285580395e-05,0.00126916,0.0021458,0.00231593,0.00150922
6,0.9753496264623773,3.4246082102328175e-05,4.947525783596513e-05,0.00063458,0.0032186999999999997,0.001157965,0.0022638149999999998
7,0.9753496165557648,3.4246103425005536e-05,4.947534711431047e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0022638149999999998
8,0.9753496039422719,3.424604500479103e-05,4.947510381029836e-05,0.00063458,0.0032186899999999997,0.001157965,0.0022638149999999998
9,0.9753496137701152,3.4246134412430686e-05,4.947546081608067e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0022638149999999998
10,0.9753496512364914,3.424603976894414e-05,4.947508839404063e-05,0.00063458,0.0032186999999999997,0.001157965,0.002263805
11,0.9757443267956808,3.353724138940923e-05,4.6582435867638466e-05,0.00063458,0.0032186999999999997,0.001157965,0.0020844232529827877
12,0.9757443154892678,3.353726250570495e-05,4.658251984779421e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0020844232529827877
13,0.9757443060604619,3.3537206584072434e-05,4.65822951733273e-05,0.00063458,0.0032186899999999997,0.001157965,0.0020844232529827877
14,0.9757443056903268,3.353729148824996e-05,4.658262500405654e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0020844232529827877
15,0.9757443076513445,3.353728035287903e-05,4.6582588430313314e-05,0.00063458,0.0032186999999999997,0.001157965,0.0020844332529827876
16,0.976131836358596,3.285165761478189e-05,3.952998507149697e-05,0.00063458,0.0032186999999999997,0.001157965,0.0014743927880801688
17,0.9761318205677151,3.285164801893578e-05,3.9530035421984196e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0014743927880801688
18,0.9761318204990574,3.285167796972472e-05,3.952991324577205e-05,0.00063458,0.0032186899999999997,0.001157965,0.0014743927880801688
19,0.9761317825605587,3.2851659002122147e-05,3.953010249611854e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0014743927880801688
20,0.976131845575531,3.285163410162204e-05,3.953005760261265e-05,0.00063458,0.0032186999999999997,0.001157965,0.0014744027880801687
21,0.9761995070377524,3.27118965782993e-05,4.127193956340809e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016726424036581874
22,0.9761994926088413,3.271190373040281e-05,4.127200378371773e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0016726424036581874
23,0.9761994898008368,3.271188926939831e-05,4.1271841168759455e-05,0.00063458,0.0032186899999999997,0.001157965,0.0016726424036581874
24,0.976199464439444,3.2711924459272696e-05,4.127208486988555e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0016726424036581874
25,0.9761995050498187,3.271190370107029e-05,4.1272042173891414e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016726524036581873
26,0.9762030421243959,3.26986575363736e-05,4.092014186337011e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016374695601663475
27,0.9762030274217425,3.2698661978993036e-05,4.092020384233341e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0016374695601663475
28,0.9762030253175046,3.2698655924780844e-05,4.092004792650521e-05,0.00063458,0.0032186899999999997,0.001157965,0.0016374695601663475
29,0.9762029975673177,3.2698681453296926e-05,4.092028251015791e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0016374695601663475
30,0.9762030418897535,3.2698659459208796e-05,4.092023944152261e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016374795601663474
31,0.9762030315804111,3.269776649283523e-05,4.087438377509082e-05,0.00063458,0.0032186999999999997,0.001157965,0.001632762389690287
32,0.9762030168983492,3.269777093499267e-05,4.087444537458435e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.001632762389690287
33,0.9762030146014499,3.2697764888571266e-05,4.087429043275038e-05,0.00063458,0.0032186899999999997,0.001157965,0.001632762389690287
34,0.9762029868579856,3.2697790353617116e-05,4.087452374432839e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.001632762389690287
35,0.9762030316567382,3.269776837627628e-05,4.0874480614037414e-05,0.00063458,0.0032186999999999997,0.001157965,0.001632772389690287
36,0.9762030514880444,3.269836805288567e-05,4.090524233092216e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016359406072113832
37,0.9762030367772133,3.269837251778631e-05,4.090530422624604e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0016359406072113832
38,0.9762030345052786,3.269836667665952e-05,4.0905148733123056e-05,0.00063458,0.0032186899999999997,0.001157965,0.0016359406072113832
39,0.9762030067906509,3.2698392053388476e-05,4.090538286139685e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0016359406072113832
40,0.9762030513125866,3.269837007286196e-05,4.0905339735883776e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016359506072113831
41,0.9762030070176891,3.269751112299349e-05,4.086132805446946e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016314078896872684
42,0.9762029924733879,3.269751567826074e-05,4.086138960478205e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0016314078896872684
43,0.9762029903606212,3.26975094359803e-05,4.08612347905452e-05,0.00063458,0.0032186899999999997,0.001157965,0.0016314078896872684
44,0.9762029623707833,3.269753499516154e-05,4.086146781346597e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0016314078896872684
45,0.9762030072915457,3.269751311294328e-05,4.086142469274412e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016314178896872683
46,0.9762030501015226,3.269814308978927e-05,4.089367750539325e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016347453728856873
47,0.9762030354818162,3.2698147517440664e-05,4.08937392245333e-05,0.0006345900000000001,0.0032186999999999997,0.001157965,0.0016347453728856873
48,0.9762030332488759,3.2698141514471986e-05,4.089358390130542e-05,0.00063458,0.0032186899999999997,0.001157965,0.0016347453728856873
49,0.9762030054687977,3.269816697106602e-05,4.0893817718128524e-05,0.00063458,0.0032186999999999997,0.0011579749999999999,0.0016347453728856873
50,0.9762030502225241,3.269814492590856e-05,4.089377459783488e-05,0.00063458,0.0032186999999999997,0.001157965,0.0016347553728856873
