N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-52.76361661,2,-52.76361661,-52.76361661,3.295058e-02,4.2830,1.6510,1.651
2mer-0+2,-3.08460164,2,-3.08460164,-55.84821825,7.997347e-03,5.4310,2.6460,2.646
2mer-0+1,-3.85694588,2,-3.85694588,-59.70516413,7.472645e-03,5.6190,2.7070,2.707
2mer-0+3,-4.47027925,2,-4.47027925,-64.17544338,7.452393e-03,4.0900,2.7090,2.709
2mer-0+4,-0.69673887,2,-0.69673887,-64.87218225,5.326380e-03,5.7690,3.0300,3.030
2mer-0+10,-10.67919621,2,-10.67919621,-75.55137846,4.459041e-03,4.2830,3.2150,3.215
2mer-0+7,-0.34059661,2,-0.34059661,-75.89197507,4.322371e-03,7.0720,3.2490,3.249
2mer-0+8,-2.24136253,2,-2.24136253,-78.13333760,2.102541e-03,6.6600,4.1310,4.131
2mer-0+21,-2.28827359,2,-2.28827359,-80.42161119,1.648892e-03,7.6820,4.4790,4.479
2mer-0+23,-0.26734595,2,-0.26734595,-80.68895714,1.393036e-03,7.8030,4.7380,4.738
2mer-0+18,-2.02417685,2,-2.02417685,-82.71313399,1.192246e-03,7.1970,4.9910,4.991
2mer-0+19,0.66898971,2,0.66898971,-82.04414428,8.603999e-04,7.0720,5.5640,5.564
2mer-0+32,-0.32938234,2,-0.32938234,-82.37352662,7.874066e-04,8.8110,5.7310,5.731
2mer-0+34,-0.49535147,2,-0.49535147,-82.86887809,7.829436e-04,9.2150,5.7410,5.741
2mer-0+11,-0.10793597,2,-0.10793597,-82.97681406,7.720900e-04,8.1920,5.7680,5.768
2mer-0+15,-0.39271136,2,-0.39271136,-83.36952542,6.868144e-04,7.9470,5.9980,5.998
2mer-0+26,-1.09385472,2,-1.09385472,-84.46338014,6.577275e-04,7.1970,6.0850,6.085
2mer-0+33,0.11342676,2,0.11342676,-84.34995338,5.820969e-04,9.8200,6.3380,6.338
2mer-0+24,0.16278884,2,0.16278884,-84.18716454,5.552637e-04,9.9060,6.4380,6.438
2mer-0+22,0.19041982,2,0.19041982,-83.99674472,4.895839e-04,8.1800,6.7140,6.714
2mer-0+28,-0.01233932,2,-0.01233932,-84.00908404,4.846912e-04,10.0100,6.7370,6.737
2mer-0+53,-0.46045423,2,-0.46045423,-84.46953827,4.665812e-04,9.6070,6.8230,6.823
2mer-0+25,0.02125727,2,0.02125727,-84.44828100,4.629912e-04,9.8010,6.8400,6.840
2mer-0+20,-0.29033037,2,-0.29033037,-84.73861137,4.515621e-04,8.8110,6.8980,6.898
2mer-0+48,-0.44718092,2,-0.44718092,-85.18579229,4.411524e-04,9.2150,6.9510,6.951
2mer-0+47,-0.30655192,2,-0.30655192,-85.49234421,4.060822e-04,10.8800,7.1460,7.146
2mer-0+76,1.17841659,2,1.17841659,-84.31392762,3.871767e-04,9.6860,7.2600,7.260
2mer-0+35,-0.17697639,2,-0.17697639,-84.49090401,3.828304e-04,9.6070,7.2880,7.288
2mer-0+68,-0.23901648,2,-0.23901648,-84.72992049,3.487152e-04,10.3500,7.5180,7.518
2mer-0+72,0.19060352,2,0.19060352,-84.53931697,3.128455e-04,9.7930,7.7950,7.795
2mer-0+30,-0.22040532,2,-0.22040532,-84.75972229,2.931252e-04,9.8200,7.9660,7.966
