keynmer,nambe,replicas,contrib,crystal_lattice_energy,priority_cutoff,min_separations
2mer-0+2,27.567746201994776,1,13.783873100997388,13.783873100997388,0.007388314612800321, 1.805 
2mer-0+3,27.567746201994776,1,13.783873100997388,27.567746201994776,0.0027582593143563234, 2.309 
2mer-0+6,27.567746201994776,1,13.783873100997388,41.35161930299216,0.001675810694649665, 2.615 
2mer-0+4,27.567746201994776,2,27.567746201994776,68.91936550498696,0.001173726853032711, 2.859 
2mer-0+1,27.567746201994776,1,13.783873100997388,82.70323860598432,0.0010938178628205838, 2.910 
3mer-0+2+6,-27.56774620199478,1,-9.18924873399826,73.51398987198607,5.682064441574699e-07, 1.805  2.526  2.615 
3mer-0+1+2,-27.56774620199478,2,-18.37849746799652,55.135492403989545,2.175836605866714e-07, 1.805  2.859  2.910 
3mer-0+1+3,-27.56774620199478,2,-18.37849746799652,36.75699493599302,2.175836591606295e-07, 2.309  2.859  2.910 
3mer-0+2+3,-27.56774620199478,1,-9.18924873399826,27.56774620199476,1.6271552703388681e-07, 1.805  2.309  3.005 
3mer-0+4+5,-27.56774620199478,1,-9.18924873399826,18.378497467996496,1.6271552688503406e-07, 2.859  2.859  3.005 
3mer-0+3+6,-27.56774620199478,1,-9.18924873399826,9.189248733998237,5.1381810174166844e-08, 2.309  2.615  3.416 
