N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+3,-26.13529938,2,-26.13529938,-26.13529938,1.787525e-02,4.6630,2.0240,2.024
2mer-0+4,-54.90838444,1,-27.45419222,-53.58949160,1.694217e-02,3.3150,2.0600,2.060
2mer-0+32,-23.09253465,1,-11.54626733,-65.13575893,8.112176e-03,4.1500,2.6340,2.634
2mer-0+22,-0.64508132,2,-0.64508132,-65.78084025,7.412925e-03,5.1260,2.7140,2.714
2mer-0+1,2.94418340,2,2.94418340,-62.83665685,5.227882e-03,5.5570,3.0490,3.049
2mer-0+8,-7.50674906,1,-3.75337453,-66.59003138,4.957854e-03,5.3660,3.1030,3.103
2mer-0+2,3.68748403,2,3.68748403,-62.90254735,4.949507e-03,3.6040,3.1050,3.105
2mer-0+5,-15.67664962,1,-7.83832481,-70.74087217,4.229618e-03,3.6570,3.2720,3.272
2mer-0+6,-6.33232500,2,-6.33232500,-77.07319717,3.894318e-03,5.2680,3.3630,3.363
2mer-0+9,2.88918747,2,2.88918747,-74.18400970,1.796747e-03,6.9940,4.3530,4.353
2mer-0+31,-1.06833234,2,-1.06833234,-75.25234203,1.498362e-03,6.4580,4.6240,4.624
2mer-0+20,-3.29504417,1,-1.64752208,-76.89986412,1.298722e-03,5.6240,4.8500,4.850
2mer-0+6,-5.65237938,1,-2.82618969,-79.72605381,1.279179e-03,5.8810,4.8750,4.875
2mer-0+17,3.29467070,2,3.29467070,-76.43138311,1.266109e-03,6.5250,4.8920,4.892
2mer-0+21,2.97853545,1,1.48926773,-74.94211538,1.086788e-03,8.8780,5.1470,5.147
2mer-0+15,1.92272652,2,1.92272652,-73.01938886,9.727688e-04,6.8680,5.3410,5.341
2mer-0+16,1.76912616,2,1.76912616,-71.25026271,9.289848e-04,7.2610,5.4230,5.423
2mer-0+17,-1.93317296,2,-1.93317296,-73.18343566,8.959972e-04,6.9040,5.4890,5.489
2mer-0+29,1.84247458,1,0.92123729,-72.26219838,8.547448e-04,8.7430,5.5760,5.576
2mer-0+18,-0.22698470,2,-0.22698470,-72.48918308,7.987712e-04,7.7350,5.7030,5.703
2mer-0+7,-0.45582184,2,-0.45582184,-72.94500492,7.744230e-04,7.8390,5.7620,5.762
2mer-0+13,1.74011178,2,1.74011178,-71.20489313,7.324589e-04,8.4320,5.8700,5.870
2mer-0+86,-1.69130320,1,-0.84565160,-72.05054473,6.468769e-04,8.1450,6.1190,6.119
2mer-0+36,-2.94117510,1,-1.47058755,-73.52113228,6.022554e-04,6.4600,6.2660,6.266
2mer-0+69,-2.42045115,2,-2.42045115,-75.94158344,5.898385e-04,9.0410,6.3100,6.310
2mer-0+26,1.60531328,2,1.60531328,-74.33627016,5.552284e-04,7.2080,6.4380,6.438
2mer-0+61,0.40412936,2,0.40412936,-73.93214080,5.521579e-04,8.4030,6.4500,6.450
2mer-0+25,0.40058814,2,0.40058814,-73.53155266,5.401042e-04,7.7300,6.4980,6.498
2mer-0+30,-0.15089582,2,-0.15089582,-73.68244848,4.994020e-04,8.6630,6.6700,6.670
2mer-0+44,0.51389882,2,0.51389882,-73.16854967,4.858378e-04,7.9970,6.7310,6.731
2mer-0+48,-2.34514778,2,-2.34514778,-75.51369745,4.594849e-04,9.7330,6.8580,6.858
2mer-0+77,0.66003028,1,0.33001514,-75.18368231,4.554816e-04,9.0920,6.8780,6.878
2mer-0+75,0.05896450,2,0.05896450,-75.12471781,4.539613e-04,9.0270,6.8850,6.885
2mer-0+72,1.42269322,1,0.71134661,-74.41337120,4.473889e-04,10.3530,6.9190,6.919
2mer-0+69,0.12983492,2,0.12983492,-74.28353628,4.372059e-04,8.8490,6.9720,6.972
2mer-0+81,1.10814913,1,0.55407456,-73.72946172,3.963854e-04,9.7080,7.2040,7.204
2mer-0+18,-0.07126664,2,-0.07126664,-73.80072836,3.720499e-04,8.8170,7.3580,7.358
2mer-0+80,-1.00082603,1,-0.50041301,-74.30114138,3.514422e-04,9.7870,7.4990,7.499
2mer-0+49,-0.66341333,2,-0.66341333,-74.96455471,3.304829e-04,9.7330,7.6540,7.654
2mer-0+159,0.44480461,2,0.44480461,-74.51975009,3.272329e-04,9.3630,7.6790,7.679
2mer-0+51,-0.59573123,1,-0.29786561,-74.81761570,3.241849e-04,8.4860,7.7030,7.703
2mer-0+73,-1.01895279,1,-0.50947639,-75.32709210,3.232554e-04,10.1290,7.7110,7.711
2mer-0+49,0.13674443,1,0.06837222,-75.25871988,3.130122e-04,10.0020,7.7940,7.794
2mer-0+64,0.85054483,2,0.85054483,-74.40817505,2.833056e-04,9.0830,8.0570,8.057
2mer-0+122,0.26618384,2,0.26618384,-74.14199121,2.712840e-04,10.5190,8.1740,8.174
2mer-0+59,-0.31398810,2,-0.31398810,-74.45597932,2.698142e-04,10.9330,8.1890,8.189
2mer-0+88,-0.23583334,1,-0.11791667,-74.57389599,2.602840e-04,9.8530,8.2880,8.288
2mer-0+42,-1.10811054,1,-0.55405527,-75.12795125,2.570707e-04,9.1740,8.3220,8.322
2mer-0+126,1.53852652,1,0.76926326,-74.35868799,2.377193e-04,10.7360,8.5420,8.542
2mer-0+56,-0.89067994,2,-0.89067994,-75.24936793,2.366621e-04,9.7480,8.5550,8.555
2mer-0+70,1.26110286,1,0.63055143,-74.61881650,2.365296e-04,10.4420,8.5570,8.557
2mer-0+82,0.46549894,2,0.46549894,-74.15331756,2.327858e-04,10.0550,8.6020,8.602
2mer-0+60,-0.18977221,2,-0.18977221,-74.34308977,2.319126e-04,11.5460,8.6130,8.613
2mer-0+138,-0.76065347,1,-0.38032673,-74.72341651,2.243123e-04,11.0130,8.7090,8.709
2mer-0+74,0.74024755,2,0.74024755,-73.98316896,2.238413e-04,10.9210,8.7150,8.715
2mer-0+93,0.47450472,2,0.47450472,-73.50866424,2.207512e-04,10.3620,8.7560,8.756
2mer-0+152,-1.06497891,2,-1.06497891,-74.57364314,2.129499e-04,11.5960,8.8620,8.862
2mer-0+70,-0.69946632,1,-0.34973316,-74.92337630,2.110898e-04,10.7220,8.8870,8.887
2mer-0+84,0.70448999,1,0.35224500,-74.57113131,2.064297e-04,10.5550,8.9540,8.954
2mer-0+51,-1.05092074,2,-1.05092074,-75.62205205,2.062387e-04,11.5630,8.9570,8.957
2mer-0+84,-0.79460051,2,-0.79460051,-76.41665255,2.051451e-04,11.4310,8.9730,8.973
2mer-0+153,0.58176027,1,0.29088013,-76.12577242,2.010507e-04,11.4800,9.0330,9.033
2mer-0+54,0.16297046,2,0.16297046,-75.96280196,1.992546e-04,10.7810,9.0600,9.060
2mer-0+114,1.52865174,1,0.76432587,-75.19847609,1.966566e-04,11.3870,9.1000,9.100
2mer-0+29,-0.45065894,2,-0.45065894,-75.64913503,1.956287e-04,10.8630,9.1160,9.116
2mer-0+57,-0.45138789,2,-0.45138789,-76.10052292,1.860513e-04,11.4770,9.2700,9.270
2mer-0+187,-0.61281112,1,-0.30640556,-76.40692848,1.830161e-04,11.9190,9.3200,9.320
2mer-0+65,-0.71968990,1,-0.35984495,-76.76677343,1.775169e-04,11.6360,9.4160,9.416
2mer-0+109,-0.86512573,1,-0.43256286,-77.19933629,1.774579e-04,9.8020,9.4170,9.417
2mer-0+139,0.64834451,1,0.32417225,-76.87516404,1.761352e-04,11.2620,9.4400,9.440
2mer-0+138,-0.60647537,1,-0.30323768,-77.17840172,1.712300e-04,11.2470,9.5300,9.530
2mer-0+171,-0.60039904,1,-0.30019952,-77.47860124,1.700665e-04,11.3970,9.5510,9.551
2mer-0+48,0.96279922,1,0.48139961,-76.99720163,1.672647e-04,11.5170,9.6040,9.604
2mer-0+105,-0.22993882,2,-0.22993882,-77.22714045,1.660922e-04,10.5510,9.6270,9.627
2mer-0+105,0.50946978,1,0.25473489,-76.97240556,1.630322e-04,12.6980,9.6870,9.687
2mer-0+104,-0.18576130,2,-0.18576130,-77.15816686,1.628035e-04,11.4310,9.6910,9.691
2mer-0+112,0.49743237,1,0.24871618,-76.90945068,1.594505e-04,12.7090,9.7590,9.759
2mer-0+64,0.46166174,2,0.46166174,-76.44778894,1.572557e-04,10.8500,9.8040,9.804
2mer-0+110,0.72397029,2,0.72397029,-75.72381865,1.553571e-04,13.1710,9.8440,9.844
2mer-0+143,0.29421811,1,0.14710906,-75.57670960,1.549792e-04,12.9630,9.8520,9.852
2mer-0+62,0.55369120,2,0.55369120,-75.02301840,1.498803e-04,10.8130,9.9620,9.962
2mer-0+116,-0.34380435,2,-0.34380435,-75.36682275,1.459466e-04,11.6540,10.0510,10.051
2mer-0+141,0.69645610,2,0.69645610,-74.67036665,1.449247e-04,13.3440,10.0740,10.074
2mer-0+144,-0.73358797,2,-0.73358797,-75.40395462,1.427382e-04,12.8160,10.1260,10.126
2mer-0+144,0.12619829,2,0.12619829,-75.27775633,1.410775e-04,11.5630,10.1650,10.165
2mer-0+68,-0.20468996,2,-0.20468996,-75.48244629,1.408463e-04,12.3630,10.1710,10.171
2mer-0+89,-0.25965352,2,-0.25965352,-75.74209982,1.406687e-04,11.5890,10.1750,10.175
2mer-0+79,0.07469779,2,0.07469779,-75.66740203,1.379669e-04,11.5960,10.2410,10.241
2mer-0+155,-0.17206164,2,-0.17206164,-75.83946367,1.333465e-04,13.1560,10.3580,10.358
2mer-0+98,-0.23899413,2,-0.23899413,-76.07845780,1.303181e-04,12.3630,10.4380,10.438
2mer-0+172,-0.26101187,1,-0.13050593,-76.20896373,1.275374e-04,12.2320,10.5130,10.513
2mer-0+54,-0.29363047,2,-0.29363047,-76.50259420,1.270429e-04,12.2310,10.5270,10.527
2mer-0+120,0.42788555,1,0.21394277,-76.28865143,1.265175e-04,13.4320,10.5410,10.541
2mer-0+298,0.24797313,2,0.24797313,-76.04067830,1.246583e-04,12.8760,10.5930,10.593
2mer-0+168,-0.32279458,2,-0.32279458,-76.36347289,1.238242e-04,12.1660,10.6170,10.617
2mer-0+152,0.05807445,1,0.02903723,-76.33443566,1.231885e-04,11.8230,10.6350,10.635
2mer-0+121,-0.40825034,1,-0.20412517,-76.53856083,1.185154e-04,11.7250,10.7730,10.773
2mer-0+189,-0.80018742,2,-0.80018742,-77.33874825,1.179022e-04,13.6100,10.7920,10.792
2mer-0+172,0.45706414,2,0.45706414,-76.88168411,1.151921e-04,13.9590,10.8760,10.876
2mer-0+162,0.87321831,1,0.43660915,-76.44507496,1.147000e-04,13.0410,10.8910,10.891
2mer-0+94,0.39313677,2,0.39313677,-76.05193819,1.124685e-04,11.7580,10.9630,10.963
2mer-0+95,-0.26051369,1,-0.13025685,-76.18219503,1.111489e-04,11.7640,11.0060,11.006
2mer-0+209,0.31559352,2,0.31559352,-75.86660151,1.092483e-04,12.6330,11.0700,11.070
2mer-0+248,-0.71133190,2,-0.71133190,-76.57793341,1.077345e-04,13.8290,11.1210,11.121
2mer-0+265,-0.38831679,1,-0.19415840,-76.77209180,1.074852e-04,13.7400,11.1300,11.130
2mer-0+181,0.42094543,2,0.42094543,-76.35114637,1.055656e-04,12.2430,11.1970,11.197
2mer-0+183,0.01507538,1,0.00753769,-76.34360868,1.044504e-04,14.1720,11.2370,11.237
2mer-0+149,-0.40245430,1,-0.20122715,-76.54483583,1.026567e-04,12.6540,11.3020,11.302
2mer-0+145,0.36158189,2,0.36158189,-76.18325395,1.021362e-04,13.9880,11.3210,11.321
2mer-0+236,-0.13552777,1,-0.06776388,-76.25101783,1.017349e-04,13.6650,11.3360,11.336
2mer-0+115,0.33550812,2,0.33550812,-75.91550972,1.006329e-04,13.7940,11.3770,11.377
2mer-0+124,0.23741819,2,0.23741819,-75.67809152,1.002856e-04,13.9920,11.3900,11.390
2mer-0+250,-0.39962899,2,-0.39962899,-76.07772051,9.913041e-05,13.0340,11.4340,11.434
2mer-0+224,0.03543429,1,0.01771714,-76.06000337,9.855343e-05,12.8210,11.4560,11.456
2mer-0+157,-0.33531685,1,-0.16765842,-76.22766179,9.844811e-05,12.5580,11.4600,11.460
2mer-0+166,0.41849960,2,0.41849960,-75.80916219,9.763243e-05,14.4450,11.4920,11.492
