N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-31.10044600,2,-31.10044600,-31.10044600,1.787525e-02,4.6630,2.0240,2.024
2mer-0+3,-63.10956666,1,-31.55478333,-62.65522933,1.694217e-02,3.3150,2.0600,2.060
2mer-0+16,-29.04002937,1,-14.52001468,-77.17524402,8.112176e-03,4.1500,2.6340,2.634
2mer-0+4,0.86438382,2,0.86438382,-76.31086020,7.412925e-03,5.1260,2.7140,2.714
2mer-0+7,4.15551725,2,4.15551725,-72.15534295,5.227882e-03,5.5570,3.0490,3.049
2mer-0+14,-8.73664372,1,-4.36832186,-76.52366480,4.957854e-03,5.3660,3.1030,3.103
2mer-0+2,5.67061652,2,5.67061652,-70.85304828,4.949507e-03,3.6040,3.1050,3.105
2mer-0+1,-16.79768295,1,-8.39884147,-79.25188976,4.229618e-03,3.6570,3.2720,3.272
2mer-0+19,-7.21365020,2,-7.21365020,-86.46553996,3.894318e-03,5.2680,3.3630,3.363
2mer-0+10,3.71575227,2,3.71575227,-82.74978769,1.796747e-03,6.9940,4.3530,4.353
2mer-0+11,-1.13725834,2,-1.13725834,-83.88704603,1.498362e-03,6.4580,4.6240,4.624
2mer-0+37,-4.46322068,1,-2.23161034,-86.11865637,1.298722e-03,5.6240,4.8500,4.850
2mer-0+27,-6.46086979,1,-3.23043490,-89.34909127,1.279179e-03,5.8810,4.8750,4.875
2mer-0+13,4.23489271,2,4.23489271,-85.11419856,1.266109e-03,6.5250,4.8920,4.892
2mer-0+30,3.39744574,1,1.69872287,-83.41547569,1.086788e-03,8.8780,5.1470,5.147
2mer-0+26,2.33526855,2,2.33526855,-81.08020714,9.727688e-04,6.8680,5.3410,5.341
2mer-0+9,2.33218533,2,2.33218533,-78.74802181,9.289848e-04,7.2610,5.4230,5.423
2mer-0+17,-2.08386100,2,-2.08386100,-80.83188281,8.959972e-04,6.9040,5.4890,5.489
2mer-0+40,2.08326279,1,1.04163140,-79.79025141,8.547448e-04,8.7430,5.5760,5.576
2mer-0+21,-0.24884846,2,-0.24884846,-80.03909987,7.987712e-04,7.7350,5.7030,5.703
2mer-0+29,-0.52853084,2,-0.52853084,-80.56763071,7.744230e-04,7.8390,5.7620,5.762
2mer-0+35,2.12710383,2,2.12710383,-78.44052688,7.324589e-04,8.4320,5.8700,5.870
2mer-0+32,-2.00317340,1,-1.00158670,-79.44211358,6.468769e-04,8.1450,6.1190,6.119
2mer-0+12,-3.44306185,1,-1.72153092,-81.16364451,6.022554e-04,6.4600,6.2660,6.266
2mer-0+46,-2.92016116,2,-2.92016116,-84.08380567,5.898385e-04,9.0410,6.3100,6.310
2mer-0+24,1.89055374,2,1.89055374,-82.19325193,5.552284e-04,7.2080,6.4380,6.438
2mer-0+22,0.47466559,2,0.47466559,-81.71858634,5.521579e-04,8.4030,6.4500,6.450
2mer-0+58,0.55289854,2,0.55289854,-81.16568780,5.401042e-04,7.7300,6.4980,6.498
2mer-0+39,-0.14712219,2,-0.14712219,-81.31280999,4.994020e-04,8.6630,6.6700,6.670
2mer-0+23,0.63951026,2,0.63951026,-80.67329973,4.858378e-04,7.9970,6.7310,6.731
2mer-0+63,-2.87762284,2,-2.87762284,-83.55092257,4.594849e-04,9.7330,6.8580,6.858
2mer-0+71,0.96534825,1,0.48267413,-83.06824844,4.554816e-04,9.0920,6.8780,6.878
2mer-0+67,0.05658277,2,0.05658277,-83.01166567,4.539613e-04,9.0270,6.8850,6.885
2mer-0+47,1.69291041,1,0.84645521,-82.16521047,4.473889e-04,10.3530,6.9190,6.919
2mer-0+80,0.08301594,2,0.08301594,-82.08219453,4.372059e-04,8.8490,6.9720,6.972
2mer-0+68,1.50869612,1,0.75434806,-81.32784647,3.963854e-04,9.7080,7.2040,7.204
2mer-0+57,-0.17011100,2,-0.17011100,-81.49795747,3.720499e-04,8.8170,7.3580,7.358
2mer-0+38,-1.21129605,1,-0.60564803,-82.10360549,3.514422e-04,9.7870,7.4990,7.499
2mer-0+52,-0.77487769,2,-0.77487769,-82.87848318,3.304829e-04,9.7330,7.6540,7.654
2mer-0+45,0.57674711,2,0.57674711,-82.30173607,3.272329e-04,9.3630,7.6790,7.679
2mer-0+93,-0.78588095,1,-0.39294048,-82.69467655,3.241849e-04,8.4860,7.7030,7.703
2mer-0+55,-1.22467915,1,-0.61233958,-83.30701612,3.232554e-04,10.1290,7.7110,7.711
2mer-0+77,0.12577323,1,0.06288662,-83.24412951,3.130122e-04,10.0020,7.7940,7.794
2mer-0+33,1.08982261,2,1.08982261,-82.15430690,2.833056e-04,9.0830,8.0570,8.057
2mer-0+87,0.34678371,2,0.34678371,-81.80752319,2.712840e-04,10.5190,8.1740,8.174
2mer-0+62,-0.32753065,2,-0.32753065,-82.13505384,2.698142e-04,10.9330,8.1890,8.189
2mer-0+108,-0.20744598,1,-0.10372299,-82.23877683,2.602840e-04,9.8530,8.2880,8.288
2mer-0+89,-1.27760439,1,-0.63880220,-82.87757902,2.570707e-04,9.1740,8.3220,8.322
2mer-0+112,1.85026443,1,0.92513221,-81.95244681,2.377193e-04,10.7360,8.5420,8.542
2mer-0+56,-1.05316763,2,-1.05316763,-83.00561444,2.366621e-04,9.7480,8.5550,8.555
2mer-0+79,1.62782584,1,0.81391292,-82.19170152,2.365296e-04,10.4420,8.5570,8.557
2mer-0+129,0.52214857,2,0.52214857,-81.66955295,2.327858e-04,10.0550,8.6020,8.602
2mer-0+78,-0.20256019,2,-0.20256019,-81.87211314,2.319126e-04,11.5460,8.6130,8.613
2mer-0+137,-0.97967437,1,-0.48983719,-82.36195032,2.243123e-04,11.0130,8.7090,8.709
2mer-0+96,0.87813337,2,0.87813337,-81.48381695,2.238413e-04,10.9210,8.7150,8.715
2mer-0+41,0.56698639,2,0.56698639,-80.91683056,2.207512e-04,10.3620,8.7560,8.756
2mer-0+81,-1.20610132,2,-1.20610132,-82.12293188,2.129499e-04,11.5960,8.8620,8.862
2mer-0+50,-0.84540870,1,-0.42270435,-82.54563623,2.110898e-04,10.7220,8.8870,8.887
2mer-0+73,0.90071932,1,0.45035966,-82.09527657,2.064297e-04,10.5550,8.9540,8.954
2mer-0+95,-1.32300693,2,-1.32300693,-83.41828350,2.062387e-04,11.5630,8.9570,8.957
2mer-0+94,-0.86165794,2,-0.86165794,-84.27994144,2.051451e-04,11.4310,8.9730,8.973
2mer-0+103,0.81038603,1,0.40519301,-83.87474843,2.010507e-04,11.4800,9.0330,9.033
2mer-0+99,0.22400365,2,0.22400365,-83.65074478,1.992546e-04,10.7810,9.0600,9.060
2mer-0+142,1.87561151,1,0.93780575,-82.71293902,1.966566e-04,11.3870,9.1000,9.100
2mer-0+74,-0.56120442,2,-0.56120442,-83.27414344,1.956287e-04,10.8630,9.1160,9.116
