distance,nmer_name,Uind_md,Udf,Unb,Uind_omm,Udf_omm,Unb_omm
1.805,3mer-0+2+11,-721996050801003.0,30312214114266.02,-752308264915302.9,-7.863846280070561,10.072967074421626,-51.36521911621094
1.805,3mer-0+2+19,-7.595836042669649,9.638630881057319,-50.87418584867039,-7.6079470294379234,9.655946098003483,-50.93524932861328
1.805,3mer-0+2+6,-89269818757.19391,781050486.3259388,-90050869277.15955,-8.407295904597731,10.64660576776555,-52.75152587890625
1.805,3mer-0+3+25,-132931812742338.66,26914899459937.21,-159846712202311.1,-8.03439262101324,10.257854197529241,-53.30790042877197
1.805,3mer-0+1+8,-9.157122242044904,11.501852096520967,-53.32358030974676,-9.148006573198018,11.486148700239482,-53.2581787109375
1.805,3mer-0+3+294,-2.6738018301272934e+18,22001042993987.453,-2.673823831170287e+18,-8.288599019273988,10.577613348737486,-55.55487060546875
1.805,3mer-0+3+423,-14570276570720.176,310205237561.60474,-14880481808318.373,-8.261970491522789,10.54443696010685,-55.46427297592163
1.805,3mer-0+3+344,-1074698294434.223,314775249957.1291,-1389473544427.1821,-8.151486756060876,10.403098700787268,-54.455068588256836
1.805,3mer-0+3+152,-82100523127.34651,9183186098.877102,-91283709262.57312,-8.214547735738279,10.4812110838418,-55.116661071777344
1.805,3mer-0+3+128,-658792977462.7155,141165850384.6171,-799958827884.5092,-8.405939033353661,10.730828354036476,-56.38428592681885
1.805,3mer-0+3+91,-532316825434.4219,221961033441.4549,-754277858912.424,-8.254064906936037,10.538507114548338,-55.410953521728516
1.805,3mer-0+3+232,-1343803118466.0825,541471102216.7456,-1885274220719.2346,-8.201845673994058,10.468580217882163,-55.14592885971069
1.805,3mer-0+3+212,-520593569169.24243,149626401233.2767,-670219970439.3579,-8.313937488469946,10.611044582452905,-55.834961891174316
1.805,3mer-0+3+310,-70125328002633.734,13547313872977.473,-83672641875647.89,-8.292645374466701,10.58429392225571,-55.65217208862305
1.805,3mer-0+3+213,-1132131067858.058,2368215649.174029,-1134499283543.1035,-8.136403111887375,10.382496805715164,-54.46117806434631
1.805,3mer-0+3+56,-32722154387.608967,907212991.931779,-33629367415.412334,-8.050342059394325,10.282398724297082,-54.275991439819336
1.805,3mer-0+3+176,-370108266938011.75,168649953724100.34,-538758220662148.75,-8.215612687842622,10.48150130294107,-54.93420600891113
1.805,3mer-0+3+336,-19976671102.171333,425036966.64100623,-20401708105.055115,-8.212357676050033,10.480496489980851,-55.006734132766724
1.805,3mer-0+3+68,-41774220761.89991,7656903814.3419075,-49431124613.525406,-8.42358303377273,10.753420826700903,-56.533339500427246
1.805,3mer-0+3+477,-4.434727855706862e+17,6880389632007100.0,-4.503531752026929e+17,-8.201870977997714,10.466670930266446,-54.798943519592285
1.805,3mer-0+3+67,-8394836381392908.0,210044117646514.03,-8604880499039457.0,-8.30913063248181,10.60674670974231,-55.20917320251465
1.805,3mer-0+3+245,-1996779030.3798082,71872242.61361282,-2068651309.6164029,-8.246678668032473,10.52460829638403,-55.465508460998535
1.805,3mer-0+3+178,-6.889020863642938e+16,2241249064694361.5,-7.113145770112371e+16,-8.364009461931118,10.675285734602085,-55.923980712890625
