distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,Ues_sapt,time_per_system
1.651,2mer-0+5,-10.960903712589797,15.80235694848225,-56.94874809286021,-30.185487431788182,-35.67000768,-78.70892618,0.01913889198546197
2.646,2mer-0+2,-0.08591237868222659,0.08600165177835478,-0.20226784883699153,-0.03035381837640051,-0.63868955,-1.0971957,0.01913889198546197
2.707,2mer-0+1,-0.09547103595394248,0.10514574321788091,-1.1462805134832215,-0.9456637343114732,-0.51894871,-2.7959986,0.01913889198546197
2.709,2mer-0+3,-0.22803975445388186,0.23036618137496684,0.0313096028597296,0.4897155386885629,-0.76217183,0.14871942,0.01913889198546197
3.03,2mer-0+4,-0.08803603581505581,0.08607743133567805,0.5104916984788415,0.6846051656295733,-0.19600382,1.06615274,0.01913889198546197
3.215,2mer-0+10,-0.6856413732841445,0.7161500796013595,-3.9624399703480986,-2.5606485174625866,-1.34492745,-6.08262094,0.01913889198546197
3.249,2mer-0+7,-0.037399159690867746,0.03712948806477624,-0.07792642229481414,-0.0033977745391624314,-0.10759638,0.45596097,0.01913889198546197
4.131,2mer-0+8,-0.09852775725207884,0.09984327091216584,-0.6141497389988392,-0.415778710834608,-0.17814755,-1.28343155,0.01913889198546197
4.479,2mer-0+21,-0.04611430945099942,0.04692694263241359,-0.9518368263115344,-0.8587955742281176,-0.1001578,-1.85966668,0.01913889198546197
4.738,2mer-0+23,-0.0055647563573225966,0.005510547991041383,0.0038981797848683802,0.014973484133216934,-0.01544233,0.00849119,0.01913889198546197
4.991,2mer-0+18,-0.03043219365031736,0.031127678355295386,-0.903981593423716,-0.8424217214180993,-0.04853736,-1.67213076,0.01913889198546197
5.564,2mer-0+19,-0.006909910740567009,0.006816057674969704,0.46416362480577433,0.47788959322132263,-0.01593848,0.94321958,0.01913889198546197
5.731,2mer-0+32,-0.00775761113137029,0.007782218097756934,-0.036531763802123605,-0.020991934573000238,-0.01776878,-0.18413991,0.01913889198546197
5.741,2mer-0+34,-0.004743071830590409,0.004778162431739867,-0.1985507529676321,-0.18902951870531917,-0.00819045,-0.41225557,0.01913889198546197
5.768,2mer-0+11,-0.0013351134937115003,0.0013170521955702872,0.009071868024837311,0.011724033714163445,-0.00302643,0.03634688,0.01913889198546197
5.998,2mer-0+15,-0.006755695215127379,0.0067815819208561735,-0.11412708094068458,-0.1005898038047203,-0.01461104,-0.22174513,0.01913889198546197
6.085,2mer-0+26,-0.01250387593370792,0.012613157658818389,-0.40422218468827936,-0.3791051510957531,-0.02479784,-0.87346375,0.01913889198546197
6.338,2mer-0+33,-0.0024005810359110473,0.0023868570962324535,0.09669160896028023,0.10147904709245265,-0.00442899,0.16878681,0.01913889198546197
6.438,2mer-0+24,-0.0018808931100867707,0.0018565709166404058,0.11137929198997877,0.11511675601670401,-0.00360814,0.21981162,0.01913889198546197
6.714,2mer-0+22,-0.003093618452560532,0.003091568043967673,0.08800201083253287,0.09418719732906879,-0.00614444,0.30414017,0.01913889198546197
6.737,2mer-0+28,-0.0017402005321178993,0.001741936596834049,-0.03807593918187137,-0.03459380205291556,-0.00326878,0.0348513,0.01913889198546197
6.823,2mer-0+53,-0.005669291825792523,0.005717064489637133,-0.14561997182717878,-0.13423361551172983,-0.01121417,-0.38119079,0.01913889198546197
6.84,2mer-0+25,-0.0014307251972910278,0.0014149234597098646,0.05716621982717551,0.060011868484189906,-0.00297161,0.08034032,0.01913889198546197
6.898,2mer-0+20,-0.007597057422509407,0.007624911406883892,-0.14117261583427454,-0.12595064700487546,-0.01142051,-0.19401055,0.01913889198546197
6.951,2mer-0+48,-0.0026828767314947986,0.002696986559167727,-0.15729648323133918,-0.15191661994069788,-0.00517834,-0.3843887,0.01913889198546197
7.146,2mer-0+47,-0.0016662722426211162,0.0016760811365668352,-0.14376263270980175,-0.14042027933061765,-0.00283451,-0.27740959,0.01913889198546197
7.26,2mer-0+76,-0.010527672666854197,0.010392576053935275,0.607616659548964,0.6285369082697303,-0.01819476,1.24789677,0.01913889198546197
7.288,2mer-0+35,-0.003675259825707107,0.003690337222157164,-0.10485411431000262,-0.09748851726212485,-0.00636128,-0.12057342,0.01913889198546197
7.518,2mer-0+68,-0.0030570644500596354,0.003070623656404771,-0.09635079428764869,-0.09022310618119778,-0.00609196,-0.19824996,0.01913889198546197
7.795,2mer-0+72,-0.004771194127780919,0.00474553774326471,0.03404579838225946,0.043562530253312796,-0.00881441,0.23977664,0.01913889198546197
7.966,2mer-0+30,-0.0021705667603738616,0.002181333830937194,-0.11370052031701715,-0.10934861972570994,-0.00359721,-0.17783749,0.01913889198546197
8.086,2mer-0+46,-0.0005027110580324959,0.0004986423419187767,0.06809529185079471,0.06909664525075562,-0.00173051,0.19243678,0.01913889198546197
8.094,2mer-0+42,-0.000559188709787289,0.0005552260160834187,0.05955025686658348,0.060664671592448406,-0.00107609,0.11147405,0.01913889198546197
8.284,2mer-0+57,-0.0006271414836511898,0.0006250021033662967,0.0814121278859957,0.08266427147301704,-0.00117203,0.19385707,0.01913889198546197
8.301,2mer-0+65,-0.0007807065944308853,0.0007776865841441125,0.14214441331628014,0.14370280649487444,-0.00191836,0.30372247,0.01913889198546197
8.322,2mer-0+37,-0.0004940268796737454,0.0004902505080820037,0.056542195100147435,0.05752647248789547,-0.00153292,0.16836795,0.01913889198546197
8.366,2mer-0+56,-0.0005782123049903672,0.0005772356938634827,0.042321157752769734,0.04347660575162359,-0.00107721,0.13459001,0.01913889198546197
8.412,2mer-0+81,-0.0004957012752392525,0.000497282509341465,-0.08213493064913871,-0.08114194686454257,-0.0014186,-0.18741584,0.01913889198546197
8.655,2mer-0+52,-0.00042830398539268216,0.00042794850364842867,-0.02721869810433423,-0.02636244561530662,-0.00101843,-0.08357503,0.01913889198546197
8.744,2mer-0+62,-0.0011760419895743698,0.001182566216315245,-0.14378951947270116,-0.14143091126681348,-0.0021185,-0.29560734,0.01913889198546197
8.839,2mer-0+121,-0.0037622029266592893,0.0037311626209653418,0.3975355486737463,0.40502891422135745,-0.00641572,0.76119566,0.01913889198546197
8.997,2mer-0+64,-0.00038477728927167746,0.0003832955620593478,0.05450083201707046,0.05526890486840149,-0.00076419,0.1053585,0.01913889198546197
9.045,2mer-0+41,-0.0004823631421007078,0.00048223912942921607,-0.0006947048410753069,0.00026989743042762324,-0.00105222,0.00873916,0.01913889198546197
9.111,2mer-0+108,-0.0010690954251634573,0.0010722020513085266,-0.02614310382047656,-0.02400180634401807,-0.00216312,-0.08397112,0.01913889198546197
9.214,2mer-0+83,-0.0007661817282987339,0.0007673906783306356,-0.006241378843225551,-0.004707806436600037,-0.00151642,0.02595796,0.01913889198546197
9.294,2mer-0+69,-0.00021649360708307123,0.00021541542495334142,0.03857813456499109,0.039010043597029434,-0.00082578,0.10573149,0.01913889198546197
9.33,2mer-0+93,-0.0007726842334390883,0.000774869857864195,-0.0913466053847681,-0.08979905129346674,-0.00161506,-0.23448234,0.01913889198546197
9.581,2mer-0+107,-0.0008249898881884279,0.0008260872175284074,-0.09709747720739259,-0.09544640010168347,-0.00148007,-0.14647919,0.01913889198546197
9.602,2mer-0+55,-0.00024092497766310618,0.00023952009371538914,0.02405555651981153,0.024536001591186168,-0.00058304,0.03385855,0.01913889198546197
9.75,2mer-0+85,-0.0002828753832981881,0.0002819832566282458,0.0792608414168686,0.07982570005678152,-0.00070157,0.16898223,0.01913889198546197
9.79,2mer-0+50,-0.00023503067855398509,0.00023383771377888423,0.03135011404868318,0.031818982441030506,-0.00072396,0.09104713,0.01913889198546197
9.846,2mer-0+113,-0.00029371998509587023,0.0002928901995243992,0.05753583491623786,0.05812244510086969,-0.00060017,0.10108234,0.01913889198546197
9.858,2mer-0+73,-0.0008097786114047198,0.0008125995806373482,-0.10337228322085591,-0.10174990502879455,-0.0016492,-0.24231622,0.01913889198546197
10.13,2mer-0+100,-0.00031568201239870496,0.00031669808777623655,-0.07238755493633496,-0.07175517483615135,-0.0005631,-0.14294578,0.01913889198546197
10.211,2mer-0+120,-0.0002306671612452036,0.00022992634070394155,0.06119672919279321,0.06165732269471922,-0.00044739,0.11707609,0.01913889198546197
10.238,2mer-0+94,-0.00021880320629703327,0.00021876600378966402,0.013672529480028258,0.014110098690123632,-0.00045137,0.06497658,0.01913889198546197
10.394,2mer-0+133,-0.0006422315394304712,0.000643284635765062,-0.1272687413418852,-0.1259832251666974,-0.00124773,-0.19405629,0.01913889198546197
