N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-27.76041346,1,-13.88020673,-13.88020673,1.902328e-02,4.9650,1.9820,1.982
2mer-0+18,-21.60674570,1,-10.80337285,-24.68357958,1.860105e-02,5.0970,1.9970,1.997
2mer-0+1,-8.95828487,2,-8.95828487,-33.64186445,7.079790e-03,5.2100,2.7560,2.756
2mer-0+8,-10.92423163,2,-10.92423163,-44.56609608,6.914117e-03,4.6160,2.7780,2.778
2mer-0+7,-13.28054482,1,-6.64027241,-51.20636849,6.794476e-03,4.6080,2.7940,2.794
2mer-0+2,-3.64947183,1,-1.82473591,-53.03110441,6.668211e-03,5.0330,2.8110,2.811
2mer-0+5,-7.16164917,1,-3.58082458,-56.61192899,6.640356e-03,5.1620,2.8150,2.815
2mer-0+4,-4.98475701,1,-2.49237851,-59.10430750,6.089562e-03,5.6910,2.8980,2.898
2mer-0+3,-9.97071573,1,-4.98535787,-64.08966536,5.626276e-03,4.7800,2.9750,2.975
2mer-0+22,-6.47183680,1,-3.23591840,-67.32558376,3.084965e-03,5.6310,3.6350,3.635
2mer-0+6,-4.09627929,1,-2.04813965,-69.37372341,2.227933e-03,6.2030,4.0520,4.052
2mer-0+31,-2.78561890,1,-1.39280945,-70.76653286,2.195047e-03,6.3880,4.0720,4.072
2mer-0+14,0.77541051,2,0.77541051,-69.99112235,1.926127e-03,8.0210,4.2530,4.253
2mer-0+13,-2.46751780,2,-2.46751780,-72.45864015,1.192758e-03,7.9950,4.9900,4.990
2mer-0+11,-0.28642133,2,-0.28642133,-72.74506147,1.191686e-03,8.1900,4.9910,4.991
2mer-0+16,-2.04618502,2,-2.04618502,-74.79124649,1.176714e-03,6.7730,5.0120,5.012
2mer-0+29,1.31602132,1,0.65801066,-74.13323583,1.161744e-03,9.0950,5.0340,5.034
2mer-0+21,-0.06211798,1,-0.03105899,-74.16429482,9.054665e-04,8.9210,5.4700,5.470
